id,name,feedback,time
53,Marion,"I first noticed this place, passing by, and noticed how clean it was and  how friendly the staff were. I needed a fast MOT on a vehicle and they fitted me in straight away. Then I needed anotheer one for another vehicle, and the same thing happened!  They are very professional and  give great advice. I shall definitely recommend them to everyone I know.",2013-10-0413:15:59
52,Dave Kaye,"At last, a garage you can rely on.After being recommended to fast mot,i  booked my car in,and the lads got to work on it.New tyres,new exhaust,new MOT,and i drive away a very happy chappy!! I cannot stress enough how much i want to recommended their services. FIRST CLASS",2013-10-0313:12:36
51,Oliver,"The Fast team are now my garage of choice!
<br/>I did a double take as i cycled past and saw how clean and organised their workshop was and brought my car in later that afternoon.
<br/>Adam discussed all the different options and i left happy
<br/>...i've already recommended to a number of my friends.",2013-09-3009:11:57	
50,Roy Dang,"Brought my car into do an MOT & couldn't ask for better service. Didn't pass first time but was pointed towards the right direction by the helpful staff to get what I needed as to pass the MOT. Finally sorted everything out, they got me out of there with my MOT cert in time for the post office to get the road tax. I can't stress how helpful this place is to get you what you need, highly recommended, I will definately return in the future."	,2013-09-2812:47:32
49,Luis,"Excellent service, very helpful and friendly. The job was done quickly and professionally. Highly recommend!",2013-09-2810:26:10
48,Alan,very pleasant staff- did what was needed when they said and on time- positive experience. will recommend,2013-09-2613:23:09
47,Ben,Turned up unannounced during my lunch break to ask about a popping noise that had been coming from my engine since I had my car serviced elsewhere a couple of weeks back. The guys diagnosed and fixed the problem straight away. I will be returning!,2013-08-2714:09:38
46,Sarah,"Friendly, professional and fast service. Thanks and see you next time!",2013-08-2308:20:43
45,Kim,Very happy! Excellent customer service & completed the job very quickly. Thank you. I will definately be going back!,013-08-1921:22:05
44,Annie,"Friendly, honest, efficient, hassle-free. They are fast. And good. Will be using this place again. ",2013-08-0710:20:45
43,alex,Took my van in a while back for an MOT and they replaced a rear light for free. Took it back today for a full service and they replaced my wiper blades for no extra cost. V professional and no nonsense. Would highly recommend.,2013-07-2317:42:21
42,Rick,"Excellent service, very helpful, friendly and most importantly, honest. It was my first visit to Fast MOT and I would definitely recommend these guys and will be using them in future. ",2013-07-1910:24:20
41,Carol,"First-time visit to get a fast MOT. Really friendly, clean, well organised workshop, a free coffee and an MOT at a great price. I'll be using this centre again. Highly recommended. ",2013-07-1612:06:57
40,Jan,"Been using them for years, and they live up to the name, as well as being honest and friendly.
<br/>Will always use... Thanks Adam",2013-07-1123:02:16
39,Ross,"You guys were great many thanks, will hopefully be seing you soon",2013-06-1417:16:10
38,Martin C,"Highly recommended. Adem and his team recently did a full service and MOT for my car. They are friendly, helpful, honest and a pleasure to deal with. Great work!",2013-06-1319:29:19
37,Tony,"Impressive, fast and efficient, would definitely recommend them.",2013-06-0316:32:58
36,Bobby,Cool Beanz from Adem and the gang,2013-05-2916:51:15
35,Kara Collins,Super friendly and speedy service from Adam at Fast. Will definitely be back and be recommending to my friends. Thanks,2013-05-2914:15:23	
34,I Enson,This was the time that I took my car to Fast Mot Centre. I was very impressed with the shop and the service. I can certainly recommend to my friends,2013-05-1815:59:34
33,Shlomy Dobrinsky,Great people Great service!,2013-05-1813:57:40
32,Chris Fuller,"Took my car in for an MOT today after a recommendation from a friend and can only echo the comments below. 
<br/>
<br/>Fast, friendly, honest and great value. Wouldn't hesitate to recommend and I will be returning. 
<br/>
<br/>Cheers lads. ",2013-05-1810:54:45
31,Dan,Proper honest mechanics these and nice with it - a rare thing! They will give you a straight diagnostic even if that means they don't result in doing the work themselves. Strangely they seem to have the customer's best interest in mind. I'm well chuffed to have found these guys; finally I don't have to do my own mechanics anymore! Top job.,2013-05-1314:19:39
30,Jane,"I've been struggling to find a good car guy in the area for years, and I'm so pleased to have met Adam! Friendly, honest and helpful, he stood out a mile from every other mechanic I've dealt with over the last few years. He even reopened the garage to finish a bit of work for me when I turned up at closing time, and gave me lots of great (and honest) advice on the best strategy for my ageing wheelse future. Highly recommended and I will definitely be visting again.",2013-05-0708:49:44
29,Adam,"Having been burnt by a terrible car garage in the past I was so relieved to find that Fast have a down-to-earth, friendly and honest approach to business. Customer service was above and beyond which in todays crowded market, makes all the difference.  I highly recommend them and will be visiting again.",2013-04-2621:38:12
28,Aaron,"I had a look at a few garages in the area first before making my choice. Right after speaking with the friendly staff on the phone I knew it was the right choice. A very efficient and fairly priced service. They even changed a bulb free of charge which was great. I Highly recommend Fast and will be returning.
<br/>Thanks",2013-04-1020:16:47
27,Joseph,"Brilliant, friendly service from Fast. Customer satisfaction is incredibly important to these guys and they have delivered for me every time. Of course I will be returning with any future issues and will also recommend to friends and family. A pleasure doing business guys...
<br/>",2013-04-1012:02:20
26,James,"Adam is fantastic, calm and reassuring. Excellent service and friendly prices. I will happily return to this garage, Adam is now my car guy :)",2013-04-0510:48:04
25,Samuel Thompson,"Excellent, thank you so much. Now I have my Tax Disk My car is not crushed :) 
<br/>Thank you Adam & Mathew so much. See you around :)",2013-04-0212:13:11
24,Rehyan,"Had my MOT done today for the first time on my car.
<br/>the service was amazing. fast and the staff were very friendly.
<br/>i will be coming back again and i recommend them to all my friends.
<br/>great work. really happy with the friendly atmosphere and service!",2013-03-2819:19:31
23,Charlotte,"Extremely friendly, trustworthy and efficient service. 100% recommended :)",2013-03-2715:16:44
22,Djelllouyl Lakhdar,Excelent service.Adem and Matthew are v.helpfull. Always willing to help i would recmmend them to anyone.I shell be returning. Thanks,2013-03-2615:37:24
21,Anonymous,Excellent service!! Adam and his team are all really skilled mechanics and are incredibly helpful! Amazing service I shall be returning. Thanks!,2013-03-2216:11:11
20,oscar,"Adem and his mechanics are friendly and reliable, i have used Fast over the past 6 years for MOTs, servicing and general maintenance on the 3 of cars that i have owned in that period, they aways deliver an excellent service, always willing to help and find a solution to my problem,  this is what hackney is made of small businesses going the extra distance. i would recommend them to anyone. ",2013-03-1309:43:58
19,Lucy,"A friend recommended this garage to me and I'm so pleased she did. As a woman who knows nothing about cars I'm always worried about getting ripped off but there was no need to be concerned about Fast. When I took the car in it was making some unhealthy noises and I figured I was facing some expensive repairs but it turned out only very minor work was all that was needed. Great service you can trust, I'll definitely be back.",2013-03-0220:12:28
18,Denise,"Had my car m.o.t done here recently after being recommended.As a female i must admit i am always suspicious of all things mechanical and oily lol!But ladies have no fear, i was'nt ripped off,Did'nt have to sit in a dirty workshop and did'nt end up with a big bill either. The guys here were very friendly.The bill was less than i expected and i was'nt kept hanging around.I will be happy to go back for any future repairs etc and am more than happy to recommend to others. Thanks guys :)",2013-03-0120:19:14
17,Nicole,"Thank you Adam for fixing my car, the problem has been solved and is now driving nice and smoothly AGAIN! Very happy with the outcome of the repair- well worth the money... 
<br/>Great friendly guys, good at their job willing to help and explain problems before repairing anything to suit your affordability. Very happy customer- recommended to all that require repairs and MOT's! ",2013-02-2120:53:38
16,Anthony,"Went to Fast MOT after a recommendation, and Im really happy I did.  
<br/>
<br/>My MOT was due and I went down there last thing in the evening and they completed the MOT very quickly whilst I waited.  The guys there were very friendly and offered some additional advice on what things to keep an eye on, rather than try and sell me things I do not need.
<br/>
<br/>I can safely say that I will be going back there from this point on!
<br/>
<br/>Keep up the good work!",2013-02-2013:00:04
15,Vivian,"Excellent Service, quick, friendly and so helpful. I wouldn't go anywhere else for repairs and MOT. A*********** ",2013-02-1717:13:57
14,Shanice,Amazing service and outcome on my car. Great team of guys that get the job done. Thank you for fixing my headlight definitely using this place as my local garage. Total thumbs up from me :),2013-02-1521:11:26
13,Alf,"Hello Adam,
<br/>I just wanted to express our thanks for sorting out our son, Gavin's, mechanical problems past & present, especially when his Volvo V70 sustained serious engine damage recently.
<br/>As you know, he has no mechanical knowledge and it is so reassuring to know that he has found such a reputable, trustworthy, customer-orientated garage.
<br/>
<br/>"2013-02-1308:44:14
12,Kate,Brilliant service yet again from Adem and his team. Always trustworthy and ready to go the extra mile! I wouldn't use anyone else and I'm really glad to have found them.,2013-02-0921:32:14
11,Chloe,"Thank you Adam for fixing my car! You where so quick and helpful, anytime I have a car trouble I will be back! Everyone in east london should use you guys!! ",2013-01-2513:40:32
10,Chrisy B,"Top service, that MOT bloke Adem is a nice guy too. Clean and well kept garage, will go above and beyond to help out! Wouldn't trust anyone else in London to look after my car!  Bravo Fast Mot!
<br/>",2013-01-2114:14:26
9,TimG,"Fast friendly efficient service and clean comfortable surroundings to wait (not long) for MOT
<br/>
<br/>Recommend",2013-01-0110:12:30
8,Damien,"Great experience visiting FAST - the staff were knowledgeable, professional and welcoming, and were able to fit my MOT in very quickly. Their advice for maintaining my car until the next MOT was really useful, and the info they gave me has proved to be honest and accurate. Looked at a couple of local garages online, and very happy to have picked this one. Don't normally leave feedback on websites, but these guys deserve a shout for a job well done. ",2012-12-1021:51:40
7,chris procopi,"Very good service,the guys are polite and my MOT was done straight away,
<br/>Many thanks",2012-12-0920:51:30
6,Kevin,"I am so impressed with the service and quality of the work. I have been to many garages and dealt with many mechanics but these guys beats them all, hands down. Earlier this year they did my MOT in 30 mins ""WOW"". I recently went back and they fitted a new exhaust to my vehicle and I am very happy. I will definitely be back in the future if I need more work to be done. Highly recommended. A++",2012-12-0720:25:46
5,Cesar r,"Excellent service ,friendly, helpful, honest
<br/>Very clean place
<br/>I will recomend to my friends .",2012-12-0320:35:52
4,Jemma Watts,"I was really impressed with the service from Adem and his team. They were friendly, professional and very efficient. The MOT was indeed fast, as was the work needed to get the car to pass. I couldn't believe how clean and tidy the workshop was too! I will definitely be back for all my car issues from now on. ",2012-11-3018:22:44
3,Baz,"Just had my Civic done without any issues as I had be in search for a new garage since my regular mechanic/garage had gone. I had drawn a list of potentials and these guys were the first I had made a visit to, even though there were others relatively outside my door step. I am so glad that it was them. The staff are so polite and there were about 3 cars to be done before mine and was told to get a cup of tea - half an hour later, they were waiting for me!!!! Very impressed and truly fast service, would recommend them to anyone - very knowledgeable and polite guys. Would definitely return for future MOT's, repairs and diagnostics. I would consider them as my new regular garage from now on :)
<br/>Thanks guys!!!",2012-11-2918:41:38
2,Scott,"I don't usually comment on websites. However, credit where credit's due. Excellent service from the off...Initial phone call (Sat morning)to see if they could fit me in for an MOT...""yep, no problem"", I couldn't find them so phoned again and received polite instructions to their whereabouts. Their set up is very clean and professional looking and I was warmly greeted by one of Aden's staff. Aden(owner)was very engaging and knowledgeable; offering free advice for some issues with my van. Warm, friendly, polite and honest are hard attributes to come across in Hackney. I will certainly use their services in the future. First class..well done chaps!",2012-10-2710:33:48
1,Bruce,"Does what it says on the tin....fast MOT (and a few extras thrown in to get the car through). I'll be back!
<br/>",2012-10-2420:47:00
